record_id,name,category,region,year,score,value
1000466,Emre Nguyen,automotive,Marmara,2021,26,9956.38
1001005,Can Tanaka,sports,Aegean,2020,51,5788.36
1001672,Priya Andersen,food,Southeastern,2015,72,7851.63
1001751,Carlos Johnson,automotive,Mediterranean,2021,14,6842.81
1001062,Omar Nguyen,toys,Southeastern,2016,25,8928.95
1000265,Fatma Kaya,toys,Central,2023,51,9891.33
1000486,Ivan Dubois,clothing,Central,2016,40,882.23
1001121,Lena Celik,automotive,Marmara,2023,18,5008.08
1000354,Diego Garcia,electronics,Black Sea,2019,1,7482.72
1001975,Nina Rossi,electronics,Mediterranean,2021,40,3351.34
1001414,Elif Dubois,books,Aegean,2019,16,5392.54
1000258,Ayse Garcia,food,Marmara,2024,46,2481.35
1000302,Murat Kaya,sports,Black Sea,2024,54,2557.63
1001156,Mia Johnson,automotive,Eastern,2023,24,8820.0
1001708,Murat Arslan,electronics,Mediterranean,2015,67,5165.76
1001884,Lucas Demir,clothing,Marmara,2017,66,8681.25
1001254,Can Lee,sports,Aegean,2023,78,6727.24
1001621,Hassan Lee,automotive,Mediterranean,2023,30,3907.43
1001426,Carlos Patel,books,Eastern,2023,73,1797.27
1000034,Murat Silva,toys,Black Sea,2021,60,8651.12
1000172,Lena Silva,clothing,Aegean,2017,70,8776.08
1001374,Noah Johnson,books,Aegean,2016,38,4500.16
1001673,Carlos Arslan,books,Eastern,2024,79,1531.57
1000875,Diego Sahin,books,Eastern,2021,67,9609.04
1000134,Carlos Kaya,food,Eastern,2020,78,2578.39
1000279,Elif Ozturk,automotive,Mediterranean,2021,72,1265.72
1000419,Mia Rossi,books,Mediterranean,2018,76,9971.93
1001800,Omar Garcia,books,Mediterranean,2022,48,6709.56
1000574,Priya Tanaka,electronics,Black Sea,2020,89,2451.8
1001502,Fatma Demir,toys,Eastern,2024,14,6814.67
1001785,Layla Muller,toys,Black Sea,2020,55,4718.4
1000534,Yuki Arslan,automotive,Mediterranean,2019,23,4954.83
1001067,Omar Arslan,books,Marmara,2018,67,6481.61
1000847,Lena Patel,clothing,Black Sea,2024,13,5992.19
1000210,Wei Muller,books,Marmara,2017,21,7568.16
1001443,Hassan Nguyen,food,Mediterranean,2024,95,4390.53
1000487,Fatma Sahin,toys,Black Sea,2024,82,7655.16
1000361,Noah Sahin,sports,Aegean,2016,5,8113.02
1001660,Yuki Tanaka,books,Aegean,2021,60,6723.92
1001543,Wei Demir,food,Eastern,2023,96,3515.76
1001200,Mia Rossi,clothing,Mediterranean,2015,75,1875.61
1000243,Emre Nguyen,electronics,Black Sea,2020,87,7223.18
1000195,Lena Dubois,clothing,Marmara,2017,36,6280.12
1001578,Amina Arslan,furniture,Eastern,2022,13,841.23
1000251,Noah Smith,food,Marmara,2020,29,379.03
1000913,Amina Khan,books,Black Sea,2024,91,2942.87
1000981,Diego Nguyen,toys,Southeastern,2017,34,7846.24
1000271,Lena Garcia,sports,Black Sea,2024,92,4318.12
1000523,Elif Tanaka,food,Aegean,2020,28,9091.3
1001017,Can Sahin,automotive,Eastern,2015,61,9080.16
1000032,Sara Patel,furniture,Mediterranean,2017,93,9360.66
1000176,Mia Demir,sports,Mediterranean,2016,59,3748.63
1000720,Diego Smith,food,Southeastern,2020,93,1221.94
1001576,Wei Andersen,toys,Aegean,2019,27,5884.26
1000612,Carlos Khan,toys,Black Sea,2017,44,9960.78
1001124,Omar Silva,furniture,Southeastern,2016,61,9395.97
1001084,Carlos Dubois,electronics,Eastern,2020,51,1564.52
1000273,Noah Dubois,food,Central,2015,10,6744.05
1000439,Lena Dubois,food,Mediterranean,2021,76,1230.78
1001316,Zeynep Tanaka,books,Southeastern,2017,93,5608.59
1000198,Ivan Arslan,food,Black Sea,2018,53,3455.08
1000987,Priya Tanaka,automotive,Central,2017,68,8714.88
1000815,Elif Kaya,automotive,Eastern,2024,20,3776.48
1001619,Mia Rossi,toys,Black Sea,2021,62,6964.17
1001959,Mia Muller,sports,Southeastern,2024,86,9100.47
1000277,Noah Rossi,automotive,Southeastern,2016,74,1463.04
1000230,Yuki Lee,electronics,Black Sea,2024,84,1963.38
1000429,Lucas Yilmaz,books,Southeastern,2017,45,3187.4
1000632,Wei Kaya,clothing,Marmara,2021,76,4878.0
1000749,Ali Dubois,clothing,Eastern,2015,47,2468.4
1001469,Sara Patel,automotive,Southeastern,2020,78,4351.16
1000796,Lucas Johnson,clothing,Central,2015,1,5280.31
1000088,Fatma Yilmaz,food,Black Sea,2020,70,4712.18
1000509,Ayse Tanaka,books,Mediterranean,2024,8,4405.9
1001428,Priya Sahin,toys,Aegean,2020,86,4872.61
1000019,Emre Silva,books,Black Sea,2021,77,9960.61
1001142,Omar Muller,electronics,Marmara,2024,6,1369.03
1001716,Noah Rossi,books,Black Sea,2017,5,9584.21
1001241,Priya Silva,food,Southeastern,2022,95,5828.17
1001636,Wei Lee,books,Southeastern,2022,62,3200.26
1000080,Mia Patel,food,Aegean,2017,84,6906.77
1001063,Layla Yilmaz,books,Black Sea,2017,37,9585.78
1001806,Emre Sahin,toys,Eastern,2024,44,4648.41
1000673,Amina Dubois,sports,Black Sea,2024,71,3644.69
1000380,Wei Sahin,electronics,Central,2023,75,5832.94
1001776,Fatma Garcia,books,Marmara,2022,40,150.39
1000126,Wei Celik,furniture,Eastern,2018,34,6637.58
1001905,Nina Muller,furniture,Southeastern,2023,85,8391.75
1000558,Amina Garcia,books,Black Sea,2016,40,7869.49
1001151,Fatma Patel,books,Southeastern,2023,28,2944.53
1001822,Zeynep Andersen,books,Aegean,2023,39,1098.94
1000960,Omar Kaya,toys,Mediterranean,2015,1,7062.5
1000506,Wei Garcia,books,Aegean,2023,31,4255.76
1001706,Diego Andersen,electronics,Marmara,2020,45,4890.23
1001441,Carlos Smith,sports,Central,2024,58,9679.52
1001510,Hassan Johnson,books,Southeastern,2024,24,3900.82
1000640,Hassan Muller,furniture,Central,2019,7,5118.09
1000151,Ivan Lee,food,Black Sea,2020,25,9808.69
1000738,Yuki Johnson,sports,Southeastern,2023,55,5689.67
1000391,Noah Johnson,food,Marmara,2020,52,4643.62
1001877,Wei Celik,furniture,Black Sea,2021,47,888.85
1000044,Zeynep Dubois,books,Eastern,2018,52,1286.76
1000716,Zeynep Khan,sports,Black Sea,2018,67,4117.43
1001678,Mia Arslan,toys,Aegean,2018,87,5810.1
1001396,Layla Kaya,toys,Mediterranean,2015,22,3334.72
1001068,Lucas Andersen,toys,Eastern,2020,63,5973.64
1000489,Ali Kaya,furniture,Marmara,2021,15,4587.93
1000575,Wei Patel,sports,Central,2015,44,8191.3
1000118,Emre Garcia,electronics,Eastern,2023,17,2815.41
1000672,Priya Sahin,electronics,Aegean,2020,77,603.42
1001273,Ali Garcia,food,Mediterranean,2016,94,693.4
1001860,Ivan Arslan,food,Marmara,2024,11,2836.54
1000120,Hassan Celik,electronics,Mediterranean,2019,61,4838.79
1001567,Ali Celik,clothing,Black Sea,2015,36,9903.96
1000578,Sara Silva,books,Aegean,2022,28,9142.07
1001855,Ali Sahin,electronics,Central,2019,11,9987.18
1001763,Omar Muller,automotive,Black Sea,2020,70,2647.4
1001847,Murat Demir,automotive,Southeastern,2015,35,2851.6
1000827,Lena Silva,toys,Marmara,2016,67,6622.36
1001449,Noah Tanaka,automotive,Central,2024,10,4146.59
1000081,Murat Silva,furniture,Aegean,2023,60,597.11
1000373,Diego Dubois,electronics,Southeastern,2016,25,8065.24
1000122,Mia Patel,books,Mediterranean,2015,20,1576.91
1001213,Murat Tanaka,toys,Mediterranean,2016,42,1622.22
1000565,Priya Kaya,clothing,Marmara,2022,23,9494.76
1000894,Priya Khan,clothing,Black Sea,2022,12,7253.48
1001988,Elif Yilmaz,toys,Eastern,2018,22,9065.77
1000643,Hassan Demir,books,Black Sea,2021,5,5615.04
1001867,Nina Yilmaz,furniture,Aegean,2020,74,3776.09
1000280,Sara Nguyen,furniture,Mediterranean,2019,89,9172.22
1000511,Wei Muller,toys,Black Sea,2019,30,839.33
1000515,Diego Garcia,electronics,Aegean,2020,19,1002.92
1001610,Lucas Tanaka,clothing,Central,2019,29,9223.82
1000973,Zeynep Smith,automotive,Eastern,2016,88,6372.87
1000543,Mia Andersen,electronics,Aegean,2024,41,9217.36
1000139,Mia Lee,electronics,Black Sea,2016,41,2598.5
1001559,Priya Sahin,toys,Southeastern,2021,65,7286.62
1001696,Amina Johnson,clothing,Central,2018,12,1023.23
1000809,Elif Celik,furniture,Black Sea,2022,32,7401.69
1001507,Diego Yilmaz,automotive,Southeastern,2021,36,6359.47
1001987,Elif Patel,furniture,Eastern,2019,79,7400.05
1001440,Layla Garcia,clothing,Eastern,2018,32,4297.34
1001526,Fatma Rossi,clothing,Black Sea,2017,41,9924.25
1001219,Mia Garcia,clothing,Marmara,2019,63,8030.09
1000727,Yuki Ozturk,sports,Aegean,2020,59,6005.08
1000192,Noah Khan,books,Black Sea,2023,29,9458.67
1000497,Elif Smith,electronics,Black Sea,2020,50,9209.32
1001971,Amina Smith,automotive,Southeastern,2016,86,3524.97
1001965,Nina Yilmaz,food,Eastern,2023,61,3614.06
1000659,Noah Sahin,clothing,Mediterranean,2023,89,6404.45
1000824,Elif Khan,food,Eastern,2017,3,6234.75
1001454,Ayse Johnson,furniture,Mediterranean,2024,85,8430.17
1000263,Amina Ozturk,automotive,Eastern,2022,81,1904.37
1001129,Priya Andersen,sports,Southeastern,2021,46,4810.2
1000595,Can Andersen,furniture,Central,2018,88,5392.35
1000440,Noah Nguyen,clothing,Southeastern,2019,79,5942.08
1000312,Mia Khan,electronics,Marmara,2015,18,7163.85
1000143,Priya Patel,books,Marmara,2024,31,7126.14
1001277,Priya Andersen,clothing,Eastern,2021,67,7400.63
1000561,Sara Smith,sports,Mediterranean,2015,20,7546.38
1000514,Omar Nguyen,sports,Southeastern,2016,12,1660.23
1001548,Fatma Demir,food,Aegean,2019,83,5203.22
1001269,Ivan Dubois,automotive,Eastern,2020,84,4104.2
1000224,Emre Dubois,clothing,Southeastern,2016,23,9516.84
1000814,Elif Ozturk,sports,Mediterranean,2016,51,7911.73
1001742,Yuki Khan,toys,Southeastern,2019,91,4594.36
1001503,Ayse Tanaka,food,Eastern,2017,8,1050.78
1001992,Nina Celik,sports,Marmara,2024,23,4489.21
1001998,Yuki Lee,clothing,Southeastern,2020,2,2253.29
1001590,Can Sahin,sports,Aegean,2019,7,6459.25
1001832,Can Patel,furniture,Eastern,2020,56,4827.69
1000246,Omar Tanaka,food,Aegean,2018,78,1470.01
1001461,Nina Silva,sports,Eastern,2021,22,1846.2
1000057,Priya Sahin,electronics,Southeastern,2020,75,5569.45
1001043,Layla Silva,clothing,Southeastern,2020,29,8874.56
1000772,Priya Rossi,toys,Southeastern,2021,36,4561.77
1001515,Priya Ozturk,electronics,Mediterranean,2022,41,1318.03
1001204,Sara Dubois,sports,Mediterranean,2020,56,8936.56
1000378,Nina Patel,automotive,Marmara,2022,98,8412.5
1000795,Hassan Lee,furniture,Southeastern,2016,57,3147.59
1000296,Carlos Demir,automotive,Eastern,2023,38,6454.24
1000861,Ali Arslan,toys,Aegean,2016,15,7421.12
1000780,Diego Dubois,furniture,Mediterranean,2024,84,6525.75
1000700,Lucas Ozturk,electronics,Central,2018,29,7150.06
1001519,Nina Garcia,automotive,Aegean,2024,63,6980.81
1001217,Carlos Tanaka,books,Black Sea,2019,23,2476.55
1000452,Can Nguyen,sports,Central,2016,57,8665.51
1001493,Nina Celik,sports,Southeastern,2024,62,6347.03
1000306,Omar Patel,automotive,Central,2023,2,8486.16
1000413,Noah Johnson,furniture,Eastern,2022,77,6204.4
1000536,Elif Muller,furniture,Southeastern,2017,44,7196.97
1000158,Zeynep Smith,sports,Aegean,2016,56,9784.57
1001242,Wei Lee,sports,Marmara,2022,52,4911.91
1000338,Ivan Khan,automotive,Aegean,2023,60,2800.81
1000456,Lena Garcia,sports,Mediterranean,2019,66,9855.35
1001764,Hassan Johnson,toys,Black Sea,2015,46,3080.93
1001319,Lena Arslan,automotive,Mediterranean,2020,3,9147.87
1000933,Nina Celik,electronics,Central,2015,88,8495.58
1001194,Ayse Demir,sports,Central,2018,80,4564.22
1001788,Ayse Dubois,sports,Marmara,2021,17,4088.72
1001118,Ivan Demir,books,Aegean,2023,91,4799.21
1001037,Yuki Muller,food,Aegean,2020,30,7811.08
1000602,Mia Khan,sports,Black Sea,2015,20,1459.78
1001521,Ali Kaya,furniture,Aegean,2019,28,9577.53
1001401,Layla Yilmaz,food,Mediterranean,2018,68,3355.7
1001823,Hassan Smith,electronics,Mediterranean,2023,43,323.15
1000693,Wei Rossi,furniture,Black Sea,2023,19,1693.29
1001953,Fatma Celik,automotive,Central,2016,8,6286.61
1000402,Layla Patel,furniture,Central,2023,49,4374.86
1001750,Amina Tanaka,food,Aegean,2019,25,4086.25
1000289,Ivan Andersen,clothing,Southeastern,2017,56,5077.85
1000714,Amina Muller,books,Eastern,2023,82,8312.68
1000102,Amina Smith,books,Eastern,2019,88,6043.47
1001550,Lena Garcia,toys,Marmara,2015,45,8912.05
1001622,Yuki Silva,furniture,Eastern,2016,31,3680.56
1000092,Elif Tanaka,toys,Eastern,2021,93,1733.78
1001761,Hassan Smith,automotive,Marmara,2015,3,5715.37
1000260,Ivan Khan,electronics,Black Sea,2022,6,6392.51
1001737,Lucas Nguyen,books,Mediterranean,2023,31,5820.48
1001464,Fatma Johnson,food,Black Sea,2024,14,8695.92
1000420,Emre Lee,electronics,Eastern,2022,91,2175.31
1000831,Zeynep Demir,furniture,Eastern,2022,11,4733.32
1001656,Omar Tanaka,food,Southeastern,2024,88,1376.81
1001035,Carlos Nguyen,electronics,Marmara,2015,69,1841.11
1000478,Ali Johnson,books,Aegean,2023,77,6039.48
1000401,Lena Dubois,food,Southeastern,2020,4,6377.18
1001690,Lucas Kaya,electronics,Marmara,2017,48,8422.78
1001597,Amina Tanaka,clothing,Black Sea,2018,94,7289.51
1000470,Fatma Patel,books,Aegean,2024,29,5241.98
1001193,Carlos Arslan,sports,Eastern,2018,54,1885.48
1000136,Emre Patel,automotive,Central,2017,75,4414.83
1000803,Layla Johnson,automotive,Aegean,2020,3,1606.13
1001864,Layla Andersen,toys,Marmara,2023,92,2356.5
1000761,Fatma Andersen,sports,Aegean,2018,64,7396.67
1000843,Ali Arslan,toys,Marmara,2019,71,5161.08
1001463,Layla Andersen,furniture,Aegean,2018,8,7523.42
1001353,Amina Arslan,books,Central,2018,86,4809.2
1000712,Ali Yilmaz,sports,Central,2018,6,6718.33
1001557,Lucas Muller,electronics,Aegean,2018,62,9600.06
1000890,Carlos Andersen,electronics,Mediterranean,2016,58,4622.86
1001300,Elif Muller,food,Aegean,2021,4,8609.66
1000117,Nina Dubois,sports,Marmara,2018,38,2351.86
1000276,Noah Tanaka,electronics,Mediterranean,2017,87,4553.78
1000495,Hassan Andersen,clothing,Central,2017,33,7755.18
1001145,Ali Garcia,books,Eastern,2016,40,1233.15
1001133,Elif Ozturk,food,Mediterranean,2020,20,3096.95
1001187,Yuki Smith,electronics,Marmara,2023,83,6158.22
1000089,Can Arslan,food,Black Sea,2024,90,293.35
1000689,Layla Tanaka,food,Southeastern,2015,61,1647.45
1001780,Noah Smith,food,Black Sea,2021,13,8940.14
1000680,Noah Khan,automotive,Black Sea,2015,38,8992.09
1001019,Can Garcia,books,Black Sea,2024,22,8369.15
1001870,Omar Dubois,electronics,Aegean,2020,6,2979.35
1001843,Omar Smith,sports,Central,2023,65,1133.24
1001146,Emre Demir,toys,Marmara,2022,85,8646.48
1000603,Fatma Muller,food,Mediterranean,2022,19,3231.88
1000723,Ayse Khan,electronics,Mediterranean,2017,8,1746.61
1001182,Amina Ozturk,automotive,Southeastern,2017,1,4066.15
1001284,Fatma Nguyen,automotive,Marmara,2017,72,3756.02
1000653,Lucas Andersen,automotive,Mediterranean,2017,89,5827.11
1000388,Ivan Silva,electronics,Marmara,2023,93,2819.66
1001262,Nina Silva,furniture,Aegean,2021,53,9187.48
1000181,Layla Rossi,food,Mediterranean,2017,54,6583.07
1001897,Ivan Khan,clothing,Marmara,2024,6,9601.62
1000184,Noah Lee,toys,Marmara,2021,36,1978.91
1000801,Lucas Smith,sports,Central,2023,35,4187.34
1000924,Nina Garcia,toys,Mediterranean,2023,3,2161.59
1001117,Yuki Demir,furniture,Eastern,2018,37,1800.39
1001046,Wei Silva,furniture,Aegean,2020,56,5836.14
1001212,Diego Celik,toys,Marmara,2019,88,9814.23
1000566,Emre Arslan,furniture,Aegean,2015,55,875.77
1001047,Yuki Sahin,electronics,Black Sea,2015,6,9912.62
1001718,Nina Rossi,food,Marmara,2016,24,8108.69
1000013,Sara Lee,furniture,Eastern,2020,99,7781.62
1001409,Nina Kaya,automotive,Marmara,2016,82,6974.71
1001278,Murat Muller,furniture,Southeastern,2020,59,1069.98
1001830,Yuki Dubois,electronics,Central,2016,54,6021.06
1001098,Sara Ozturk,electronics,Aegean,2020,60,8794.46
1001527,Lucas Tanaka,electronics,Mediterranean,2018,10,2773.97
1000860,Noah Dubois,automotive,Mediterranean,2017,57,544.24
1000962,Yuki Tanaka,toys,Eastern,2021,52,3877.11
1001607,Layla Ozturk,sports,Central,2022,20,2513.46
1000859,Fatma Muller,toys,Mediterranean,2015,99,3117.4
1000294,Lena Andersen,electronics,Southeastern,2015,11,550.03
1001602,Mia Celik,clothing,Eastern,2015,78,1087.23
1000226,Diego Andersen,toys,Southeastern,2020,20,4453.21
1000713,Nina Rossi,food,Black Sea,2022,6,495.02
1000178,Hassan Demir,toys,Mediterranean,2018,83,725.79
1001445,Omar Dubois,clothing,Mediterranean,2017,33,3866.08
1001144,Noah Rossi,food,Central,2015,85,2517.62
1000596,Hassan Rossi,sports,Southeastern,2017,85,8776.42
1000310,Carlos Dubois,books,Aegean,2016,51,3794.29
1000298,Priya Kaya,clothing,Black Sea,2021,62,4697.51
1001804,Wei Nguyen,sports,Marmara,2017,46,5055.82
1001264,Priya Khan,books,Marmara,2020,41,4075.94
1001057,Carlos Kaya,toys,Central,2017,83,5631.47
1000606,Emre Andersen,clothing,Black Sea,2016,17,6182.73
1000295,Amina Andersen,sports,Eastern,2018,99,5763.59
1001536,Wei Rossi,furniture,Eastern,2024,54,7096.48
1001693,Can Andersen,food,Aegean,2021,94,1819.63
1001168,Wei Khan,books,Mediterranean,2024,100,9321.47
1001753,Yuki Johnson,furniture,Marmara,2023,13,2826.77
1000479,Carlos Garcia,electronics,Southeastern,2019,27,5225.2
1000839,Lena Lee,toys,Southeastern,2020,53,7664.66
1000485,Amina Khan,food,Black Sea,2021,11,6440.68
1001886,Priya Garcia,books,Central,2020,76,6126.09
1000929,Emre Celik,toys,Southeastern,2015,100,2100.57
1001116,Emre Khan,furniture,Mediterranean,2024,9,1081.05
1000581,Fatma Arslan,electronics,Aegean,2015,59,600.49
1000844,Yuki Andersen,clothing,Marmara,2015,59,3620.64
1000788,Murat Celik,books,Black Sea,2023,7,360.99
1001993,Priya Kaya,furniture,Eastern,2022,65,4151.18
1001191,Layla Patel,books,Aegean,2018,25,9464.97
1001260,Elif Smith,automotive,Central,2019,65,1795.32
1001368,Sara Sahin,automotive,Aegean,2016,61,7930.08
1000137,Hassan Yilmaz,automotive,Central,2021,43,3278.16
1001123,Omar Nguyen,sports,Eastern,2022,29,5583.21
1001568,Ayse Silva,electronics,Mediterranean,2018,12,8656.2
1000609,Fatma Demir,electronics,Eastern,2018,29,6965.2
1000645,Layla Muller,toys,Southeastern,2015,29,8457.9
1000398,Yuki Sahin,food,Marmara,2019,21,5682.62
1000896,Emre Nguyen,furniture,Black Sea,2016,33,3308.02
1000507,Can Sahin,sports,Marmara,2015,30,8982.25
1001302,Omar Sahin,clothing,Central,2016,20,3136.96
1001420,Lena Arslan,books,Aegean,2016,86,1761.87
1000052,Murat Sahin,sports,Marmara,2016,96,5576.36
1000835,Ivan Tanaka,furniture,Aegean,2023,85,2562.51
1000043,Hassan Khan,clothing,Marmara,2023,11,8527.44
1000183,Layla Nguyen,furniture,Southeastern,2020,13,9810.2
1000427,Nina Lee,furniture,Black Sea,2020,51,4683.86
1001108,Layla Dubois,toys,Aegean,2019,4,7469.41
1001991,Carlos Kaya,furniture,Southeastern,2020,98,5064.6
1000169,Carlos Rossi,furniture,Eastern,2018,80,2580.95
1000261,Noah Johnson,electronics,Central,2016,45,2486.91
1000328,Omar Kaya,sports,Eastern,2016,45,9246.77
1000503,Wei Dubois,furniture,Black Sea,2020,76,9720.42
1001741,Fatma Nguyen,food,Aegean,2022,14,3470.12
1000583,Murat Demir,furniture,Central,2022,77,4515.98
1001857,Noah Johnson,sports,Southeastern,2024,2,1330.51
1001869,Lena Dubois,toys,Central,2021,84,3809.31
1001252,Nina Kaya,books,Central,2021,15,6213.26
1000959,Noah Yilmaz,electronics,Mediterranean,2023,52,8490.76
1001179,Zeynep Patel,automotive,Eastern,2021,43,7201.4
1001184,Nina Sahin,food,Southeastern,2020,58,4835.34
1000222,Lena Ozturk,books,Mediterranean,2016,68,5148.02
1001912,Omar Smith,sports,Eastern,2022,63,7986.99
1000254,Elif Johnson,furniture,Southeastern,2017,71,9407.3
1001358,Mia Ozturk,electronics,Central,2015,10,3642.72
1000549,Noah Lee,food,Marmara,2022,74,6543.95
1001898,Ivan Lee,furniture,Marmara,2022,4,3758.08
1001733,Fatma Rossi,electronics,Eastern,2015,34,8843.98
1001106,Ivan Dubois,books,Black Sea,2022,10,1253.88
1000557,Zeynep Garcia,automotive,Aegean,2016,4,2148.63
1001558,Sara Celik,food,Black Sea,2023,64,8017.42
1000444,Emre Lee,clothing,Black Sea,2019,18,1952.09
1000268,Wei Nguyen,food,Central,2017,64,6950.79
1001542,Diego Lee,books,Black Sea,2015,79,1982.63
1001436,Ivan Kaya,furniture,Southeastern,2018,78,8738.91
1000389,Omar Demir,food,Southeastern,2017,14,9187.77
1000250,Ali Nguyen,toys,Marmara,2021,7,4024.5
1000956,Zeynep Arslan,clothing,Mediterranean,2015,97,1552.43
1000355,Yuki Yilmaz,electronics,Black Sea,2020,90,731.16
1000730,Hassan Dubois,electronics,Southeastern,2023,65,7547.84
1000918,Lena Rossi,furniture,Marmara,2018,89,2887.82
1001509,Amina Khan,furniture,Marmara,2024,74,9873.77
1000219,Omar Celik,food,Marmara,2020,22,8032.29
1001848,Mia Garcia,books,Marmara,2019,79,3900.59
1001070,Omar Ozturk,sports,Aegean,2022,48,9709.2
1001207,Layla Silva,books,Black Sea,2015,57,3629.19
1001817,Fatma Yilmaz,electronics,Eastern,2016,27,429.03
1001224,Ayse Patel,books,Central,2022,56,883.83
1000021,Sara Muller,books,Central,2021,21,4591.41
1000140,Murat Tanaka,electronics,Eastern,2023,60,4190.74
1000175,Ayse Smith,food,Southeastern,2023,47,993.91
1001045,Nina Patel,furniture,Mediterranean,2022,60,2863.51
1001080,Can Sahin,books,Central,2015,52,6212.85
1000984,Mia Smith,automotive,Eastern,2017,27,5819.22
1001574,Sara Patel,toys,Central,2019,15,1059.09
1001952,Emre Sahin,automotive,Marmara,2015,40,7043.8
1000313,Hassan Khan,automotive,Aegean,2024,66,1483.69
1000695,Yuki Kaya,automotive,Eastern,2023,10,2977.17
1000785,Omar Johnson,food,Central,2022,100,8640.92
1001495,Lena Sahin,furniture,Southeastern,2018,90,7382.95
1001896,Sara Dubois,books,Aegean,2019,19,1050.07
1000153,Hassan Tanaka,food,Eastern,2017,64,9650.8
1001676,Layla Sahin,automotive,Eastern,2024,13,461.17
1000976,Omar Garcia,clothing,Marmara,2024,96,3110.0
1000119,Can Lee,sports,Eastern,2017,82,8696.9
1000242,Carlos Tanaka,clothing,Aegean,2017,89,7733.1
1001095,Amina Smith,electronics,Marmara,2019,64,9942.9
1001038,Lena Smith,books,Aegean,2021,26,3817.4
1001514,Amina Celik,furniture,Eastern,2016,24,8632.97
1000053,Sara Garcia,furniture,Eastern,2020,27,6905.53
1000269,Noah Khan,sports,Southeastern,2016,94,4302.12
1000905,Carlos Demir,furniture,Mediterranean,2019,80,6322.86
1001637,Amina Tanaka,food,Aegean,2015,48,6501.16
1001113,Murat Johnson,electronics,Marmara,2019,86,201.69
1001318,Lena Johnson,automotive,Central,2018,85,9830.93
1000006,Lena Celik,books,Black Sea,2016,46,8489.35
1001418,Elif Kaya,food,Southeastern,2018,32,3808.61
1001891,Yuki Johnson,books,Aegean,2019,64,3476.72
1001148,Elif Muller,food,Mediterranean,2021,42,5767.56
1000459,Ali Tanaka,automotive,Aegean,2024,81,2760.03
1001608,Ivan Johnson,books,Marmara,2015,14,5491.41
1001546,Can Silva,automotive,Black Sea,2017,48,9699.34
